game,ranking_idol,event_type,year,month,duration_days,t1_cutoff,t2_cutoff,t3_cutoff
sif,matsuura_kanan,score_match,2019,4,10,51841,60314,124660
sif,koizumi_hanayo,touring_rally,2019,4,10,55152,69616,135688
