ranking_idol,appearing_idol_1,appearing_idol_2,appearing_idol_3,appearing_idol_4,event_type,start,duration,t1_cutoff,t2_cutoff,t3_cutoff
kisaragi chihaya,mogami shizuka,,,,theater,202005,9,427005,104068,55830
shinomiya karen,hakozaki serika,miyao miya,kinoshita hinata,,tour,202006,7,166726,67000,51652
kitazawa shiho,sakuramori kaori,tanaka kotoha,tokugawa matsuri,,tour,202007,8,456187,102457,60136
fukuda noriko,satake minako,kousaka umi,takayama sayoko,yokoyama nao,theater,202008,8,189815,79446,54564
takatsuki yayoi,amami haruka,ganaha hibiki,,,tour,202008,8,174520,71222,52988
minase iori,emily stewart,,,,theater,202009,8,156614,63429,50564
ogami tamaki,nakatani iku,suou momoko,,,tour,202009,9,273756,85580,57956
nikaido chizuru,hagiwara yukiho,,,,theater,202010,8,131359,61684,50532
kitakami reika,nonohara akane,,,,tour,202010,8,200517,71732,52894
mogami shizuka,julia,,,,theater,202011,8,256198,79486,53025
Ichinose Shiki,Miyamoto Fredrica,shimabara elena,miyao miya,,twin,202011,8,615144,233036,143101
mochizuki anna,yabuki kana,,,,theater,202012,9,209014,70738,51665
kousaka umi,miura azusa,nakatani iku,,,tour,202012,7,256274,100409,71080
kasuga mirai,mogami shizuka,ibuki tsubasa,,,theater,202001,8,138514,67057,51612
baba konomi,kitakami reika,sakuramori kaori,toyokawa fuuka,,theater,202002,9,336081,102391,59481
kousaka umi,matsuda arisa,yabuki kana,,,tour,202002,8,331117,78262,53674
tenkubashi tomoka,nikaido chizuru,shinomiya karen,,,theater,202003,8,121427,58140,48582
futami mami,akizuki ritsuko,futami ami,,,tour,202003,7,92580,57195,48517
nanao yuriko,handa roco,hakozaki serika,tenkubashi tomoka,matsuda arisa,theater,202004,9,130822,58741,46625
